Name,District,Phone,Email
James Arciero,2nd Middlesex,617-722-2019,James.Arciero@mahouse.gov
Brian Ashe,2nd Hampden,617-722-2430,Brian.Ashe@mahouse.gov
Bruce Ayers,1st Norfolk,617-722-2230,Bruce.Ayers@mahouse.gov
Ruth Balser,12th Middlesex,617-722-2396,Ruth.Balser@mahouse.gov
Christine Barber,34th Middlesex,617-722-2210,Christine.Barber@mahouse.gov
John Barrett,1st Berkshire,617-722-2400,john.barrett@mahouse.gov
F. Jsy Barrows,1st Bristol,617-722-2488,F.JayBarrows@mahouse.gov
Jennifer Benson,37th Middlesex,617-722-2430,Jennifer.Benson@mahouse.gov
Donald Berthiaume,5th Worcester,617-722-2090,Donald.Berthiaume@mahouse.gov
David Biele,4th Suffolk,617-722-2425,David.Biele@mahouse.gov
Natalie Blais,1st Franklin,617-722-2425,Natalie.Blais@mahouse.gov
Nicholas Boldyga,3rd Hampden,617-722-2810,Nicholas.Boldyga@mahouse.gov
Paul Brodeur,32nd Middlesex,617-722-2013,Paul.Brodeur@mahouse.gov
Antonio Cabral,13th Bristol,617-722-2017,Antonio.Cabral@mahouse.gov
Daniel Cahill,10th Essex,617-722-2020,Daniel.Cahill@mahouse.gov
Linda Campbell,15th Essex,617-722-2380,Linda.Campbell@mahouse.gov
Peter Capano,11th Essex,617-722-2425,peter.capano@mahouse.gov
Daniel Carey,2nd Hampshire,617-722-2425,daniel.carey@mahouse.gov
Gerard Cassidy,9th Plymouth,617-722-2396,Gerard.Cassidy@mahouse.gov
Tackey Chan,2nd Norfolk,617-722-2014,Tackey.Chan@mahouse.gov
Michelle Ciccolo,15th Middlesex,617-722-2425,michelle.ciccolo@mahouse.gov
Mike Connolly,26th Middlesex,617-722-2060,Mike.Connolly@mahouse.gov
Edward Coppinger,10th Suffolk,617-722-2080,Edward.Coppinger@mahouse.gov
William Crocker,2nd Barnstable,617-722-2014,William.Crocker@mahouse.gov
Claire Cronin,11th Plymouth,617-722-2396,Claire.Cronin@mahouse.gov
Daniel Cullinane,12th Suffolk,617-722-2020,Daniel.Cullinane@mahouse.gov
Mark Cusack,5th Norfolk,617-722-2637,Mark.Cusack@mahouse.gov
Josh Cutler,6th Plymouth,617-722-2080,Josh.Cutler@mahouse.gov
Angelo D'Emilia,8th Plymouth,617-722-2488,Angelo.D'Emilia@mahouse.gov
Michael Day,31st Middlesex,617-722-2396,Michael.Day@mahouse.gov
Marjorie Decker,25th Middlesex,617-722-2692,Marjorie.Decker@mahouse.gov
David DeCoste,5th Plymouth,617-722-2460,David.DeCoste@mahouse.gov
Robert DeLeo,19th Suffolk,617-722-2500,Robert.DeLeo@mahouse.gov
Marcos Devers,16th Essex,617-722-2425,marcos.devers@mahouse.gov
Mindy Domb,3rd Hampshire,617-722-2425,mindy.domb@mahouse.gov
Daniel Donahue,16th Worcester,617-722-2304,Daniel.Donahue@mahouse.gov
Paul Donato,35th Middlesex,617-722-2180,Paul.Donato@mahouse.gov
Shawn Dooley,9th Norfolk,617-722-2810,Shawn.Dooley@mahouse.gov
William Driscoll,7th Norfolk,617-722-2400,William.Driscoll@mahouse.gov
Michelle DuBois,10th Plymouth,617-722-2011,michelle.dubois@mahouse.gov
Peter Durant,6th Worcester,617-722-2060,Peter.Durant@mahouse.gov
Carolyn Dykema,8th Middlesex,617-722-2680,Carolyn.Dykema@mahouse.gov
Lori Ehrlich,8th Essex,617-722-2810,Lori.Ehrlich@mahouse.gov
Nika Elugardo,15th Suffolk,617-722-2425,nika.elugardo@mahouse.gov
Tricia Farley-Bouvier,3rd Berkshire,617-722-2240,Tricia.Farley-Bouvier@mahouse.gov
Kimberly Ferguson,1st Worcester,617-722-2263,Kimberly.Ferguson@mahouse.gov
Ann-Margaret Ferrante,5th Essex,617-722-2012,Ann-Margaret.Ferrante@mahouse.gov
Michael Finn,6th Hampden,617-722-2220,Michael.Finn@mahouse.gov
Carole Fiola,6th Bristol,617-722-2430,Carole.Fiola@mahouse.gov
Paul Frost,7th Worcester,617-722-2489,Paul.Frost@mahouse.gov
William Galvin,6th Norfolk,617-722-2692,William.Galvin@mahouse.gov
Sean Garballey,23rd Middlesex,617-722-2090,Sean.Garballey@mahouse.gov
Denise Garlick,13th Norfolk,617-722-2060,Denise.Garlick@mahouse.gov
Colleen Garry,36th Middlesex,617-722-2380,Colleen.Garry@mahouse.gov
Carmine Gentile,13th Middlesex,617-722-2810,carmine.gentile@mahouse.gov
Susan Gifford,2nd Plymouth,617-722-2100,Susan.Gifford@mahouse.gov
Thomas Golden,16th Middlesex,617-722-2263,Thomas.Golden@mahouse.gov
Carlos Gonzalez,10th Hampden,617-722-2080,Carlos.Gonzalez@mahouse.gov
Kenneth Gordon,21st Middlesex,617-722-2575,Ken.Gordon@mahouse.gov
Tami Gouveia,14th Middlesex,617-722-2425,tami.gouveia@mahouse.gov
Danielle Gregoire,4th Middlesex,617-722-2810,Danielle.Gregoire@mahouse.gov
Patricia Haddad,5th Bristol,617-722-2600,Patricia.Haddad@mahouse.gov
Richard Haggerty,30th Middlesex,617-722-2425,richard.haggerty@mahouse.gov
Sheila Harrington,1st Middlesex,617-722-2305,Sheila.Harrington@mahouse.gov
James Hawkins,2nd Bristol,617-722-2090,james.hawkins@mahouse.gov
Stephan Hay,3rd Worcester,617-722-2637,Stephan.Hay@mahouse.gov
Jonathan Hecht,29th Middlesex,617-722-2140,Jonathan.Hecht@mahouse.gov
Christopher Hendricks,11th Bristol,617-722-2425,Chris.Hendricks@mahouse.gov
Natalie Higgins,4th Worcester,617-722-2060,Natalie.Higgins@mahouse.gov
Bradford Hill,4th Essex,617-722-2100,Brad.Hill@mahouse.gov
Kate Hogan,3rd Middlesex,617-722-2130,Kate.Hogan@mahouse.gov
Russell Holmes,6th Suffolk,617-722-2220,Russell.Holmes@mahouse.gov
Kevin Honan,17th Suffolk,617-722-2470,Kevin.Honan@mahouse.gov
Steven Howitt,4th Bristol,617-722-2305,Steven.Howitt@mahouse.gov
Daniel Hunt,13th Suffolk,617-722-2450,Daniel.Hunt@mahouse.gov
Randy Hunt,5th Barnstable,617-722-2396,Randy.Hunt@mahouse.gov
Bradley Jones,20th Middlesex,617-722-2100,Bradley.Jones@mahouse.gov
Louis Kafka,8th Norfolk,617-722-2960,Louis.Kafka@mahouse.gov
Hannah Kane,11th Worcester,617-722-2810,Hannah.Kane@mahouse.gov
Patrick Kearney,4th Plymouth,617-722-2425,patrick.kearney@mahouse.gov
Mary Keefe,15th Worcester,617-722-2210,Mary.Keefe@mahouse.gov
James Kelcourse,1st Essex,617-722-2130,james.kelcourse@mahouse.gov
Kay Khan,11th Middlesex,617-722-2011,Kay.Khan@mahouse.gov
Kathleen LaNatra,12th Plymouth,617-722-2425,kathleen.lanatra@mahouse.gov
John Lawn,10th Middlesex,617-722-2877,John.Lawn@mahouse.gov
David LeBoeuf,17th Worcester,617-722-2425,david.leboeuf@mahouse.gov
Jack Lewis,7th Middlesex,617-722-2460,Jack.Lewis@mahouse.gov
David Linsky,5th Middlesex,617-722-2575,David.Linsky@mahouse.gov
Jay Livingstone,8th Suffolk,617-722-2013,Jay.Livingstone@mahouse.gov
Marc Lombardo,22nd Middlesex,617-722-2460,Marc.Lombardo@mahouse.gov
Adrian Madaro,1st Suffolk,617-722-2263,Adrian.Madaro@mahouse.gov
John Mahoney,13th Worcester,617-722-2460,John.Mahoney@mahouse.gov
Elizabeth Malia,11th Suffolk,617-722-2380,Liz.Malia@mahouse.gov
Ronald Mariano,3rd Norfolk,617-722-2300,Ronald.Mariano@mahouse.gov
Paul Mark,2nd Berkshire,617-722-2304,Paul.Mark@mahouse.gov
Christopher Markey,9th Bristol,617-722-2020,Christopher.Markey@mahouse.gov
Joseph McGonagle,28th Middlesex,617-722-2017,Joseph.McGonagle@mahouse.gov
Joseph McKenna,18th Worcester,617-722-2060,joseph.mckenna@mahouse.gov
Paul McMurtry,11th Norfolk,617-722-2582,Paul.McMurtry@mahouse.gov
Joan Meschino,3rd Plymouth,617-722-2320,Joan.Meschino@mahouse.gov
Aaron Michlewitz,3rd Suffolk,617-722-2220,Aaron.M.Michlewitz@mahouse.gov
Christina Minicucci,14th Essex,617-722-2425,christina.minicucci@mahouse.gov
Liz Miranda,5th Suffolk,617-722-2425,liz.miranda@mahouse.gov
Lenny Mirra,2nd Essex,617-722-2488,Leonard.Mirra@mahouse.gov
Rady Mom,18th Middlesex,617-722-2030,Rady.Mom@mahouse.gov
Frank Moran,17th Essex,617-722-2400,Frank.Moran@mahouse.gov
Michael Moran,18th Suffolk,617-722-2014,Michael.Moran@mahouse.gov
David Muradian,9th Worcester,617-722-2240,David.Muradian@mahouse.gov
Mathew Muratore,1st Plymouth,617-722-2014,Mathew.Muratore@mahouse.gov
James Murphy,4th Norfolk,617-722-2575,James.Murphy@mahouse.gov
Brian Murray,10th Worcester,617-722-2460,Brian.Murray@mahouse.gov
David Nangle,17th Middlesex,617-722-2520,David.Nangle@mahouse.gov
Harold Naughton,12th Worcester,617-722-2230,Harold.Naughton@mahouse.gov
Tram Nguyen,18th Essex,617-722-2425,tram.nguyen@mahouse.gov
Shaunna O'Connell,3rd Bristol,617-722-2305,Shaunna.O'Connell@mahouse.gov
James O'Day,14th Worcester,617-722-2090,James.O'Day@mahouse.gov
Norman Orrall,12th Bristol,617-722-2090,norman.orrall@mahouse.gov
Jerald Parisella,6th Essex,617-722-2240,Jerald.Parisella@mahouse.gov
Sarah Peake,4th Barnstable,617-722-2040,Sarah.Peake@mahouse.gov
Alice Peisch,14th Norfolk,617-722-2070,Alice.Peisch@mahouse.gov
Thomas Petrolati,7th Hampden,617-722-2255,Thomas.Petrolati@mahouse.gov
Smitty Pignatelli,4th Berkshire,617-722-2210,rep.smitty@mahouse.gov
Elizabeth Poirier,14th Bristol,617-722-2100,Elizabeth.Poirier@mahouse.gov
Denise Provost,27th Middlesex,617-722-2263,Denise.Provost@mahouse.gov
Angelo Puppolo,12th Hampden,617-722-2006,Angelo.Puppolo@mahouse.gov
David Robertson,19th Middlesex,617-722-2425,david.robertson@mahouse.gov
Maria Robinson,6th Middlesex,617-722-2425,maria.robinson@mahouse.gov
David Rogers,24th Middlesex,617-722-2370,Dave.Rogers@mahouse.gov
John Rogers,12th Norfolk,617-722-2092,John.Rogers@mahouse.gov
Jeffrey Roy,10th Norfolk,617-722-2430,Jeffrey.Roy@mahouse.gov
Daniel Ryan,2nd Suffolk,617-722-2060,Dan.Ryan@mahouse.gov
Lindsay Sabadosa,1st Hampshire,617-722-2425,lindsay.sabadosa@mahouse.gov
Jon Santiago,9th Suffolk,617-722-2425,jon.santiago@mahouse.gov
Angelo Scaccia,14th Suffolk,617-722-2230,Angelo.Scaccia@mahouse.gov
Paul Schmid,8th Bristol,617-722-2017,Paul.Schmid@mahouse.gov
Alan Silvia,7th Bristol,617-722-2230,Alan.Silvia@mahouse.gov
Todd Smola,1st Hampden,617-722-2100,Todd.Smola@mahouse.gov
Michael Soter,8th Worcester,617-722-2460,michael.soter@mahouse.gov
Theodore Speliotis,13th Essex,617-722-2410,Theodore.Speliotis@mahouse.gov
Thomas Stanley,9th Middlesex,617-722-2230,Thomas.Stanley@mahouse.gov
William Straus,10th Bristol,617-722-2400,William.Straus@mahouse.gov
Alyson Sullivan,7th Plymouth,617-722-2014,alyson.sullivan@mahouse.gov
José Tosado,9th Hampden,617-722-2460,Jose.Tosado@mahouse.gov
Paul Tucker,7th Essex,617-722-2070,Paul.Tucker@mahouse.gov
Chynah Tyler,7th Suffolk,617-722-2130,Chynah.Tyler@mahouse.gov
Steven Ultrino,33rd Middlesex,617-722-2460,Steven.Ultrino@mahouse.gov
Andres Vargas,3rd Essex,617-722-2014,andy.vargas@mahouse.gov
Aaron Vega,5th Hampden,617-722-2011,Aaron.Vega@mahouse.gov
John Velis,4th Hampden,617-722-2877,john.velis@mahouse.gov
David Vieira,3rd Barnstable,617-722-2230,David.Vieira@mahouse.gov
RoseLee Vincent,16th Suffolk,617-722-2210,RoseLee.Vincent@mahouse.gov
Tommy Vitolo,15th Norfolk,617-722-2425,tommy.vitolo@mahouse.gov
Joseph Wagner,8th Hampden,617-722-2783,Joseph.Wagner@mahouse.gov
Thomas Walsh,12th Essex,617-722-2676,Thomas.Walsh@mahouse.gov
Timothy Whelan,1st Barnstable,617-722-2488,Timothy.Whelan@mahouse.gov
Susannah Whipps,2nd Franklin,617-722-2090,Susannah.Whipps@mahouse.gov
Bud Williams,11th Hampden,617-722-2140,Bud.Williams@mahouse.gov
Donald Wong,9th Essex,617-722-2488,Donald.Wong@mahouse.gov
Jonathan Zlotnik,2nd Worcester,617-722-2080,Jon.Zlotnik@mahouse.gov
